"Step","w1-baseline-fast - completion_len/mean","w1-baseline-fast - completion_len/mean__MIN","w1-baseline-fast - completion_len/mean__MAX","w1-alpha64-baseline - completion_len/mean","w1-alpha64-baseline - completion_len/mean__MIN","w1-alpha64-baseline - completion_len/mean__MAX","w1-alpha32-baseline - completion_len/mean","w1-alpha32-baseline - completion_len/mean__MIN","w1-alpha32-baseline - completion_len/mean__MAX","w1-alpha128-baseline - completion_len/mean","w1-alpha128-baseline - completion_len/mean__MIN","w1-alpha128-baseline - completion_len/mean__MAX","w1-alpha64-lr1e-5 - completion_len/mean","w1-alpha64-lr1e-5 - completion_len/mean__MIN","w1-alpha64-lr1e-5 - completion_len/mean__MAX","w1-alpha64-lr3e-6 - completion_len/mean","w1-alpha64-lr3e-6 - completion_len/mean__MIN","w1-alpha64-lr3e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MAX","w1-alpha64-lr5e-6 - completion_len/mean","w1-alpha64-lr5e-6 - completion_len/mean__MIN","w1-alpha64-lr5e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MAX"
"11","467.1640625","467.1640625","467.1640625","457.03125","457.03125","457.03125","470.71875","470.71875","470.71875","446.7890625","446.7890625","446.7890625","350.9296875","350.9296875","350.9296875","378.0078125","378.0078125","378.0078125","340.265625","340.265625","340.265625","381.3828125","381.3828125","381.3828125","807.4296875","807.4296875","807.4296875","569.2109375","569.2109375","569.2109375","982.3828125","982.3828125","982.3828125","881.5766129032259","881.5766129032259","881.5766129032259"
"12","468.953125","468.953125","468.953125","457.59375","457.59375","457.59375","470.48333333333335","470.48333333333335","470.48333333333335","444.1796875","444.1796875","444.1796875","290.40625","290.40625","290.40625","352.6875","352.6875","352.6875","352.1875","352.1875","352.1875","383.3125","383.3125","383.3125","879.15625","879.15625","879.15625","550.1953125","550.1953125","550.1953125","793.8046875","793.8046875","793.8046875","786.8984375","786.8984375","786.8984375"
"13","482.2578125","482.2578125","482.2578125","464.0390625","464.0390625","464.0390625","460.0546875","460.0546875","460.0546875","439.125","439.125","439.125","308.40625","308.40625","308.40625","340.015625","340.015625","340.015625","421.84375","421.84375","421.84375","386.3203125","386.3203125","386.3203125","858.3359375","858.3359375","858.3359375","540.9296875","540.9296875","540.9296875","852.8203125","852.8203125","852.8203125","844.1129032258065","844.1129032258065","844.1129032258065"
"14","482.65625","482.65625","482.65625","454.453125","454.453125","454.453125","472.859375","472.859375","472.859375","430.703125","430.703125","430.703125","286.3046875","286.3046875","286.3046875","369.3828125","369.3828125","369.3828125","395.1875","395.1875","395.1875","399.8984375","399.8984375","399.8984375","742.3359375","742.3359375","742.3359375","587.90625","587.90625","587.90625","792.1375","792.1375","792.1375","713.421875","713.421875","713.421875"
"15","469.7265625","469.7265625","469.7265625","435.8125","435.8125","435.8125","464.9921875","464.9921875","464.9921875","382.328125","382.328125","382.328125","278.953125","278.953125","278.953125","362.359375","362.359375","362.359375","432.875","432.875","432.875","331.484375","331.484375","331.484375","802.5859375","802.5859375","802.5859375","400.2734375","400.2734375","400.2734375","831.546875","831.546875","831.546875","796.515625","796.515625","796.515625"
"16","488.6484375","488.6484375","488.6484375","431.7734375","431.7734375","431.7734375","454.390625","454.390625","454.390625","356.078125","356.078125","356.078125","278.75","278.75","278.75","353.8515625","353.8515625","353.8515625","325.78125","325.78125","325.78125","357.0078125","357.0078125","357.0078125","761.1796875","761.1796875","761.1796875","475.171875","475.171875","475.171875","930.5078125","930.5078125","930.5078125","823.2137096774194","823.2137096774194","823.2137096774194"
"17","472.6328125","472.6328125","472.6328125","439.625","439.625","439.625","462.21875","462.21875","462.21875","365.859375","365.859375","365.859375","266.3671875","266.3671875","266.3671875","363.2578125","363.2578125","363.2578125","386.859375","386.859375","386.859375","349.1796875","349.1796875","349.1796875","837.265625","837.265625","837.265625","461.5703125","461.5703125","461.5703125","820.4708333333333","820.4708333333333","820.4708333333333","904.6640625","904.6640625","904.6640625"
"18","478.015625","478.015625","478.015625","441.015625","441.015625","441.015625","480.625","480.625","480.625","350.1015625","350.1015625","350.1015625","253.296875","253.296875","253.296875","315.8125","315.8125","315.8125","314.109375","314.109375","314.109375","318.203125","318.203125","318.203125","800.046875","800.046875","800.046875","503.390625","503.390625","503.390625","940.78125","940.78125","940.78125","908.9921875","908.9921875","908.9921875"
"19","481.6328125","481.6328125","481.6328125","433.28125","433.28125","433.28125","449.734375","449.734375","449.734375","399.6171875","399.6171875","399.6171875","266.7734375","266.7734375","266.7734375","317.078125","317.078125","317.078125","400.640625","400.640625","400.640625","334.84375","334.84375","334.84375","713.984375","713.984375","713.984375","375.4375","375.4375","375.4375","901.0546875","901.0546875","901.0546875","840.8203125","840.8203125","840.8203125"
"20","489.90625","489.90625","489.90625","396.8125","396.8125","396.8125","450.0234375","450.0234375","450.0234375","363.484375","363.484375","363.484375","244.546875","244.546875","244.546875","285.3671875","285.3671875","285.3671875","325.46875","325.46875","325.46875","327.578125","327.578125","327.578125","851.828125","851.828125","851.828125","476.7578125","476.7578125","476.7578125","910.8828125","910.8828125","910.8828125","871.5859375","871.5859375","871.5859375"
