"Step","w1-baseline-fast - reward/mean","w1-baseline-fast - reward/mean__MIN","w1-baseline-fast - reward/mean__MAX","w1-alpha64-baseline - reward/mean","w1-alpha64-baseline - reward/mean__MIN","w1-alpha64-baseline - reward/mean__MAX","w1-alpha32-baseline - reward/mean","w1-alpha32-baseline - reward/mean__MIN","w1-alpha32-baseline - reward/mean__MAX","w1-alpha128-baseline - reward/mean","w1-alpha128-baseline - reward/mean__MIN","w1-alpha128-baseline - reward/mean__MAX","w1-alpha64-lr1e-5 - reward/mean","w1-alpha64-lr1e-5 - reward/mean__MIN","w1-alpha64-lr1e-5 - reward/mean__MAX","w1-alpha64-lr3e-6 - reward/mean","w1-alpha64-lr3e-6 - reward/mean__MIN","w1-alpha64-lr3e-6 - reward/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - reward/mean","w1-alpha64-lr3e-6-b64-r16 - reward/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - reward/mean__MAX","w1-alpha64-lr5e-6 - reward/mean","w1-alpha64-lr5e-6 - reward/mean__MIN","w1-alpha64-lr5e-6 - reward/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - reward/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - reward/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - reward/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - reward/mean__MAX"
"22","0.286484375","0.286484375","0.286484375","0.5856640625","0.5856640625","0.5856640625","0.31003906249999996","0.31003906249999996","0.31003906249999996","0.508671875","0.508671875","0.508671875","0.6594921875","0.6594921875","0.6594921875","0.6770312499999999","0.6770312499999999","0.6770312499999999","0.5409375","0.5409375","0.5409375","0.6165234374999999","0.6165234374999999","0.6165234374999999","0.7389453124999998","0.7389453124999998","0.7389453124999998","0.6591796874999999","0.6591796874999999","0.6591796874999999","0.7458984375","0.7458984375","0.7458984375","0.6759765624999998","0.6759765624999998","0.6759765624999998"
"23","0.3537890624999999","0.3537890624999999","0.3537890624999999","0.6640234374999999","0.6640234374999999","0.6640234374999999","0.34585937499999997","0.34585937499999997","0.34585937499999997","0.5894921874999999","0.5894921874999999","0.5894921874999999","0.6480859375","0.6480859375","0.6480859375","0.6137890624999999","0.6137890624999999","0.6137890624999999","0.5354687499999999","0.5354687499999999","0.5354687499999999","0.7069531250000001","0.7069531250000001","0.7069531250000001","0.7394921875","0.7394921875","0.7394921875","0.6116796875","0.6116796875","0.6116796875","0.8347265625","0.8347265625","0.8347265625","0.700078125","0.700078125","0.700078125"
"24","0.36632812499999995","0.36632812499999995","0.36632812499999995","0.6597265625","0.6597265625","0.6597265625","0.5119140624999999","0.5119140624999999","0.5119140624999999","0.591015625","0.591015625","0.591015625","0.6966015624999999","0.6966015624999999","0.6966015624999999","0.7038671875","0.7038671875","0.7038671875","0.745859375","0.745859375","0.745859375","0.7612890625","0.7612890625","0.7612890625","0.798828125","0.798828125","0.798828125","0.6861718749999999","0.6861718749999999","0.6861718749999999","0.7426953125","0.7426953125","0.7426953125","0.7449218749999998","0.7449218749999998","0.7449218749999998"
"25","0.28886718749999996","0.28886718749999996","0.28886718749999996","0.4539062499999999","0.4539062499999999","0.4539062499999999","0.5172656249999998","0.5172656249999998","0.5172656249999998","0.6700390624999999","0.6700390624999999","0.6700390624999999","0.6800390625","0.6800390625","0.6800390625","0.6398828125","0.6398828125","0.6398828125","0.7448437499999999","0.7448437499999999","0.7448437499999999","0.6741015624999999","0.6741015624999999","0.6741015624999999","0.78375","0.78375","0.78375","0.6061718749999999","0.6061718749999999","0.6061718749999999","0.7758203124999998","0.7758203124999998","0.7758203124999998","0.6967578124999998","0.6967578124999998","0.6967578124999998"
"26","0.32554687499999996","0.32554687499999996","0.32554687499999996","0.545546875","0.545546875","0.545546875","0.45378906249999995","0.45378906249999995","0.45378906249999995","0.6176953124999999","0.6176953124999999","0.6176953124999999","0.6703125000000001","0.6703125000000001","0.6703125000000001","0.6705078125","0.6705078125","0.6705078125","0.4678125","0.4678125","0.4678125","0.5814843749999999","0.5814843749999999","0.5814843749999999","0.7485546875","0.7485546875","0.7485546875","0.5782421875","0.5782421875","0.5782421875","0.8159765625","0.8159765625","0.8159765625","0.7587890625","0.7587890625","0.7587890625"
"27","0.3277734375","0.3277734375","0.3277734375","0.6434374999999999","0.6434374999999999","0.6434374999999999","0.5230078125","0.5230078125","0.5230078125","0.7548046875000001","0.7548046875000001","0.7548046875000001","0.7036328125","0.7036328125","0.7036328125","0.6846875","0.6846875","0.6846875","0.609765625","0.609765625","0.609765625","0.6565624999999999","0.6565624999999999","0.6565624999999999","0.7248046874999999","0.7248046874999999","0.7248046874999999","0.711328125","0.711328125","0.711328125","0.896953125","0.896953125","0.896953125","0.8528125","0.8528125","0.8528125"
"28","0.31218749999999995","0.31218749999999995","0.31218749999999995","0.47968749999999993","0.47968749999999993","0.47968749999999993","0.5808984374999999","0.5808984374999999","0.5808984374999999","0.613984375","0.613984375","0.613984375","0.6392187500000001","0.6392187500000001","0.6392187500000001","0.7353125","0.7353125","0.7353125","0.617109375","0.617109375","0.617109375","0.6492578124999999","0.6492578124999999","0.6492578124999999","0.6751953124999999","0.6751953124999999","0.6751953124999999","0.8626562500000001","0.8626562500000001","0.8626562500000001","0.6238281249999998","0.6238281249999998","0.6238281249999998","0.812890625","0.812890625","0.812890625"
"29","0.43167968749999996","0.43167968749999996","0.43167968749999996","0.63625","0.63625","0.63625","0.4949609374999999","0.4949609374999999","0.4949609374999999","0.6908203124999999","0.6908203124999999","0.6908203124999999","0.74734375","0.74734375","0.74734375","0.7069531250000001","0.7069531250000001","0.7069531250000001","0.8121093749999999","0.8121093749999999","0.8121093749999999","0.752109375","0.752109375","0.752109375","0.8934765625000001","0.8934765625000001","0.8934765625000001","0.7952734374999999","0.7952734374999999","0.7952734374999999","0.77546875","0.77546875","0.77546875","0.7729687499999999","0.7729687499999999","0.7729687499999999"
"30","0.29210937499999995","0.29210937499999995","0.29210937499999995","0.5789843749999999","0.5789843749999999","0.5789843749999999","0.5104296875","0.5104296875","0.5104296875","0.7220312499999999","0.7220312499999999","0.7220312499999999","0.7457031249999999","0.7457031249999999","0.7457031249999999","0.6565624999999999","0.6565624999999999","0.6565624999999999","0.621875","0.621875","0.621875","0.702890625","0.702890625","0.702890625","0.8173828125","0.8173828125","0.8173828125","0.632578125","0.632578125","0.632578125","0.7876171875","0.7876171875","0.7876171875","0.8108203125","0.8108203125","0.8108203125"
"32","0.38105468749999993","0.38105468749999993","0.38105468749999993","0.6829296874999999","0.6829296874999999","0.6829296874999999","0.5597265625","0.5597265625","0.5597265625","0.6297265624999999","0.6297265624999999","0.6297265624999999","0.568203125","0.568203125","0.568203125","0.6555078125","0.6555078125","0.6555078125","0.7127343749999999","0.7127343749999999","0.7127343749999999","0.6857031249999999","0.6857031249999999","0.6857031249999999","0.6957031249999999","0.6957031249999999","0.6957031249999999","0.7514062499999999","0.7514062499999999","0.7514062499999999","0.6042578125","0.6042578125","0.6042578125","0.7020312499999999","0.7020312499999999","0.7020312499999999"
