"Step","w1-baseline-fast - metrics/format_reward","w1-baseline-fast - metrics/format_reward__MIN","w1-baseline-fast - metrics/format_reward__MAX","w1-alpha64-baseline - metrics/format_reward","w1-alpha64-baseline - metrics/format_reward__MIN","w1-alpha64-baseline - metrics/format_reward__MAX","w1-alpha32-baseline - metrics/format_reward","w1-alpha32-baseline - metrics/format_reward__MIN","w1-alpha32-baseline - metrics/format_reward__MAX","w1-alpha128-baseline - metrics/format_reward","w1-alpha128-baseline - metrics/format_reward__MIN","w1-alpha128-baseline - metrics/format_reward__MAX","w1-alpha64-lr1e-5 - metrics/format_reward","w1-alpha64-lr1e-5 - metrics/format_reward__MIN","w1-alpha64-lr1e-5 - metrics/format_reward__MAX","w1-alpha64-lr3e-6 - metrics/format_reward","w1-alpha64-lr3e-6 - metrics/format_reward__MIN","w1-alpha64-lr3e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MAX","w1-alpha64-lr5e-6 - metrics/format_reward","w1-alpha64-lr5e-6 - metrics/format_reward__MIN","w1-alpha64-lr5e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MAX"
"11","0.375","0.375","0.375","0.421875","0.421875","0.421875","0.375","0.375","0.375","0.484375","0.484375","0.484375","0.7421875","0.7421875","0.7421875","0.546875","0.546875","0.546875","0.890625","0.890625","0.890625","0.609375","0.609375","0.609375","0.9375","0.9375","0.9375","0.921875","0.921875","0.921875","0.9375","0.9375","0.9375","0.953125","0.953125","0.953125"
"12","0.375","0.375","0.375","0.40625","0.40625","0.40625","0.3984375","0.3984375","0.3984375","0.5234375","0.5234375","0.5234375","0.90625","0.90625","0.90625","0.7109375","0.7109375","0.7109375","0.828125","0.828125","0.828125","0.6171875","0.6171875","0.6171875","0.984375","0.984375","0.984375","0.9140625","0.9140625","0.9140625","0.96875","0.96875","0.96875","0.921875","0.921875","0.921875"
"13","0.3359375","0.3359375","0.3359375","0.3828125","0.3828125","0.3828125","0.3984375","0.3984375","0.3984375","0.53125","0.53125","0.53125","0.8671875","0.8671875","0.8671875","0.8515625","0.8515625","0.8515625","0.4375","0.4375","0.4375","0.34375","0.34375","0.34375","0.9453125","0.9453125","0.9453125","0.890625","0.890625","0.890625","0.9453125","0.9453125","0.9453125","0.9609375","0.9609375","0.9609375"
"14","0.2734375","0.2734375","0.2734375","0.484375","0.484375","0.484375","0.3515625","0.3515625","0.3515625","0.578125","0.578125","0.578125","0.8671875","0.8671875","0.8671875","0.75","0.75","0.75","0.625","0.625","0.625","0.265625","0.265625","0.265625","0.953125","0.953125","0.953125","0.765625","0.765625","0.765625","0.9765625","0.9765625","0.9765625","0.96875","0.96875","0.96875"
"15","0.3671875","0.3671875","0.3671875","0.53125","0.53125","0.53125","0.3828125","0.3828125","0.3828125","0.734375","0.734375","0.734375","0.8125","0.8125","0.8125","0.796875","0.796875","0.796875","0.578125","0.578125","0.578125","0.59375","0.59375","0.59375","0.9296875","0.9296875","0.9296875","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.90625","0.90625","0.90625"
"16","0.234375","0.234375","0.234375","0.53125","0.53125","0.53125","0.421875","0.421875","0.421875","0.8125","0.8125","0.8125","0.8671875","0.8671875","0.8671875","0.828125","0.828125","0.828125","0.890625","0.890625","0.890625","0.5","0.5","0.5","0.9296875","0.9296875","0.9296875","0.90625","0.90625","0.90625","0.9609375","0.9609375","0.9609375","0.90625","0.90625","0.90625"
"17","0.46875","0.46875","0.46875","0.5078125","0.5078125","0.5078125","0.421875","0.421875","0.421875","0.7578125","0.7578125","0.7578125","0.8828125","0.8828125","0.8828125","0.75","0.75","0.75","0.671875","0.671875","0.671875","0.3359375","0.3359375","0.3359375","0.9453125","0.9453125","0.9453125","0.8671875","0.8671875","0.8671875","0.96875","0.96875","0.96875","0.9140625","0.9140625","0.9140625"
"18","0.3515625","0.3515625","0.3515625","0.46875","0.46875","0.46875","0.3203125","0.3203125","0.3203125","0.8359375","0.8359375","0.8359375","0.9609375","0.9609375","0.9609375","0.9140625","0.9140625","0.9140625","0.890625","0.890625","0.890625","0.59375","0.59375","0.59375","0.984375","0.984375","0.984375","0.8671875","0.8671875","0.8671875","0.9609375","0.9609375","0.9609375","0.96875","0.96875","0.96875"
"19","0.3359375","0.3359375","0.3359375","0.46875","0.46875","0.46875","0.4296875","0.4296875","0.4296875","0.6328125","0.6328125","0.6328125","0.890625","0.890625","0.890625","0.84375","0.84375","0.84375","0.515625","0.515625","0.515625","0.7265625","0.7265625","0.7265625","0.9921875","0.9921875","0.9921875","0.9609375","0.9609375","0.9609375","0.9453125","0.9453125","0.9453125","0.921875","0.921875","0.921875"
"20","0.3046875","0.3046875","0.3046875","0.6015625","0.6015625","0.6015625","0.453125","0.453125","0.453125","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125","0.765625","0.765625","0.765625","0.984375","0.984375","0.984375","0.9296875","0.9296875","0.9296875","0.984375","0.984375","0.984375","0.9375","0.9375","0.9375"
