"Step","w1-baseline-fast - metrics/reasoning_reward","w1-baseline-fast - metrics/reasoning_reward__MIN","w1-baseline-fast - metrics/reasoning_reward__MAX","w1-alpha64-baseline - metrics/reasoning_reward","w1-alpha64-baseline - metrics/reasoning_reward__MIN","w1-alpha64-baseline - metrics/reasoning_reward__MAX","w1-alpha32-baseline - metrics/reasoning_reward","w1-alpha32-baseline - metrics/reasoning_reward__MIN","w1-alpha32-baseline - metrics/reasoning_reward__MAX","w1-alpha128-baseline - metrics/reasoning_reward","w1-alpha128-baseline - metrics/reasoning_reward__MIN","w1-alpha128-baseline - metrics/reasoning_reward__MAX","w1-alpha64-lr1e-5 - metrics/reasoning_reward","w1-alpha64-lr1e-5 - metrics/reasoning_reward__MIN","w1-alpha64-lr1e-5 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6 - metrics/reasoning_reward","w1-alpha64-lr3e-6 - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/reasoning_reward__MAX","w1-alpha64-lr5e-6 - metrics/reasoning_reward","w1-alpha64-lr5e-6 - metrics/reasoning_reward__MIN","w1-alpha64-lr5e-6 - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/reasoning_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/reasoning_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/reasoning_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/reasoning_reward__MAX"
"18","0.6591796875","0.6591796875","0.6591796875","0.6701171875","0.6701171875","0.6701171875","0.6337890625","0.6337890625","0.6337890625","0.7009765625","0.7009765625","0.7009765625","0.6869140625","0.6869140625","0.6869140625","0.7501953125","0.7501953125","0.7501953125","0.716015625","0.716015625","0.716015625","0.716015625","0.716015625","0.716015625","0.8736328125000001","0.8736328125000001","0.8736328125000001","0.7828125000000001","0.7828125000000001","0.7828125000000001","0.8792968750000002","0.8792968750000002","0.8792968750000002","0.8830078125000003","0.8830078125000003","0.8830078125000003"
"19","0.6625000000000001","0.6625000000000001","0.6625000000000001","0.6671874999999999","0.6671874999999999","0.6671874999999999","0.6625","0.6625","0.6625","0.682421875","0.682421875","0.682421875","0.6865234375","0.6865234375","0.6865234375","0.71484375","0.71484375","0.71484375","0.5929687499999999","0.5929687499999999","0.5929687499999999","0.7242187499999999","0.7242187499999999","0.7242187499999999","0.8875000000000002","0.8875000000000002","0.8875000000000002","0.8064453125","0.8064453125","0.8064453125","0.8798828125000002","0.8798828125000002","0.8798828125000002","0.8648437500000001","0.8648437500000001","0.8648437500000001"
"20","0.652734375","0.652734375","0.652734375","0.721484375","0.721484375","0.721484375","0.6646484374999999","0.6646484374999999","0.6646484374999999","0.7130859375","0.7130859375","0.7130859375","0.6937500000000001","0.6937500000000001","0.6937500000000001","0.741015625","0.741015625","0.741015625","0.686328125","0.686328125","0.686328125","0.70859375","0.70859375","0.70859375","0.8802734375000001","0.8802734375000001","0.8802734375000001","0.8378906250000001","0.8378906250000001","0.8378906250000001","0.8880859375000002","0.8880859375000002","0.8880859375000002","0.8742187500000002","0.8742187500000002","0.8742187500000002"
"21","0.688671875","0.688671875","0.688671875","0.7224609375","0.7224609375","0.7224609375","0.6951171875","0.6951171875","0.6951171875","0.714453125","0.714453125","0.714453125","0.6767578125","0.6767578125","0.6767578125","0.68515625","0.68515625","0.68515625","0.7550781249999999","0.7550781249999999","0.7550781249999999","0.7476562499999999","0.7476562499999999","0.7476562499999999","0.87421875","0.87421875","0.87421875","0.7845703125","0.7845703125","0.7845703125","0.8761718750000003","0.8761718750000003","0.8761718750000003","0.86640625","0.86640625","0.86640625"
"22","0.6433593750000001","0.6433593750000001","0.6433593750000001","0.7095703125","0.7095703125","0.7095703125","0.6556640625000001","0.6556640625000001","0.6556640625000001","0.656640625","0.656640625","0.656640625","0.7037109375","0.7037109375","0.7037109375","0.71328125","0.71328125","0.71328125","0.696875","0.696875","0.696875","0.6802734375","0.6802734375","0.6802734375","0.8783203125000001","0.8783203125000001","0.8783203125000001","0.8037109375000001","0.8037109375000001","0.8037109375000001","0.8896484375000002","0.8896484375000002","0.8896484375000002","0.8603515625000002","0.8603515625000002","0.8603515625000002"
"23","0.6791015625000001","0.6791015625000001","0.6791015625000001","0.7576171875000001","0.7576171875000001","0.7576171875000001","0.694140625","0.694140625","0.694140625","0.7365234375","0.7365234375","0.7365234375","0.7248046875","0.7248046875","0.7248046875","0.7251953124999999","0.7251953124999999","0.7251953124999999","0.72421875","0.72421875","0.72421875","0.7457031250000001","0.7457031250000001","0.7457031250000001","0.8927734375000002","0.8927734375000002","0.8927734375000002","0.7849609375000001","0.7849609375000001","0.7849609375000001","0.8884765625000002","0.8884765625000002","0.8884765625000002","0.8832031250000001","0.8832031250000001","0.8832031250000001"
"24","0.7105468750000001","0.7105468750000001","0.7105468750000001","0.7478515625","0.7478515625","0.7478515625","0.7509765625000001","0.7509765625000001","0.7509765625000001","0.685546875","0.685546875","0.685546875","0.6626953124999999","0.6626953124999999","0.6626953124999999","0.7263671875","0.7263671875","0.7263671875","0.783984375","0.783984375","0.783984375","0.7400390625","0.7400390625","0.7400390625","0.8652343750000001","0.8652343750000001","0.8652343750000001","0.801953125","0.801953125","0.801953125","0.8892578125000001","0.8892578125000001","0.8892578125000001","0.8808593750000002","0.8808593750000002","0.8808593750000002"
"25","0.6474609375","0.6474609375","0.6474609375","0.703125","0.703125","0.703125","0.7152343750000001","0.7152343750000001","0.7152343750000001","0.7173828125000001","0.7173828125000001","0.7173828125000001","0.6423828125","0.6423828125","0.6423828125","0.7501953125","0.7501953125","0.7501953125","0.66953125","0.66953125","0.66953125","0.7533203125000001","0.7533203125000001","0.7533203125000001","0.8679687500000002","0.8679687500000002","0.8679687500000002","0.7847656250000001","0.7847656250000001","0.7847656250000001","0.8830078125000003","0.8830078125000003","0.8830078125000003","0.8900390625000001","0.8900390625000001","0.8900390625000001"
"26","0.6550781250000001","0.6550781250000001","0.6550781250000001","0.727734375","0.727734375","0.727734375","0.7220703125000001","0.7220703125000001","0.7220703125000001","0.7369140624999999","0.7369140624999999","0.7369140624999999","0.69140625","0.69140625","0.69140625","0.7119140625","0.7119140625","0.7119140625","0.6984374999999999","0.6984374999999999","0.6984374999999999","0.723828125","0.723828125","0.723828125","0.8638671875000001","0.8638671875000001","0.8638671875000001","0.8169921875000001","0.8169921875000001","0.8169921875000001","0.8689453125000002","0.8689453125000002","0.8689453125000002","0.8798828125000002","0.8798828125000002","0.8798828125000002"
"27","0.6310546875","0.6310546875","0.6310546875","0.7328125000000001","0.7328125000000001","0.7328125000000001","0.7205078125","0.7205078125","0.7205078125","0.7544921874999999","0.7544921874999999","0.7544921874999999","0.6236328125","0.6236328125","0.6236328125","0.775","0.775","0.775","0.7128906249999999","0.7128906249999999","0.7128906249999999","0.71640625","0.71640625","0.71640625","0.8896484375000002","0.8896484375000002","0.8896484375000002","0.8417968750000001","0.8417968750000001","0.8417968750000001","0.8949218750000002","0.8949218750000002","0.8949218750000002","0.8812500000000001","0.8812500000000001","0.8812500000000001"
"28","0.7054687500000001","0.7054687500000001","0.7054687500000001","0.6875","0.6875","0.6875","0.6896484375","0.6896484375","0.6896484375","0.7496093750000001","0.7496093750000001","0.7496093750000001","0.6765625","0.6765625","0.6765625","0.69609375","0.69609375","0.69609375","0.679296875","0.679296875","0.679296875","0.7501953124999999","0.7501953124999999","0.7501953124999999","0.8876953125000002","0.8876953125000002","0.8876953125000002","0.8132812500000001","0.8132812500000001","0.8132812500000001","0.8183593750000002","0.8183593750000002","0.8183593750000002","0.8847656250000001","0.8847656250000001","0.8847656250000001"
"29","0.7130859375","0.7130859375","0.7130859375","0.74375","0.74375","0.74375","0.6974609375","0.6974609375","0.6974609375","0.6923828125","0.6923828125","0.6923828125","0.6429687500000001","0.6429687500000001","0.6429687500000001","0.737890625","0.737890625","0.737890625","0.740234375","0.740234375","0.740234375","0.729296875","0.729296875","0.729296875","0.8814453125000001","0.8814453125000001","0.8814453125000001","0.7771484375","0.7771484375","0.7771484375","0.8812500000000002","0.8812500000000002","0.8812500000000002","0.8843750000000001","0.8843750000000001","0.8843750000000001"
"30","0.6363281250000001","0.6363281250000001","0.6363281250000001","0.7191406250000001","0.7191406250000001","0.7191406250000001","0.7318359375","0.7318359375","0.7318359375","0.7","0.7","0.7","0.6113281250000001","0.6113281250000001","0.6113281250000001","0.7554687499999999","0.7554687499999999","0.7554687499999999","0.6640624999999999","0.6640624999999999","0.6640624999999999","0.682421875","0.682421875","0.682421875","0.8837890625000002","0.8837890625000002","0.8837890625000002","0.807421875","0.807421875","0.807421875","0.8951171875000001","0.8951171875000001","0.8951171875000001","0.8822265625000001","0.8822265625000001","0.8822265625000001"
"32","0.7021484375","0.7021484375","0.7021484375","0.7349609375","0.7349609375","0.7349609375","0.7361328125000001","0.7361328125000001","0.7361328125000001","0.7345703125","0.7345703125","0.7345703125","0.645703125","0.645703125","0.645703125","0.7541015625","0.7541015625","0.7541015625","0.727734375","0.727734375","0.727734375","0.709765625","0.709765625","0.709765625","0.8847656250000002","0.8847656250000002","0.8847656250000002","0.7804687499999999","0.7804687499999999","0.7804687499999999","0.8806640625000002","0.8806640625000002","0.8806640625000002","0.8617187500000001","0.8617187500000001","0.8617187500000001"
"33","0.652734375","0.652734375","0.652734375","0.73515625","0.73515625","0.73515625","0.7445312500000001","0.7445312500000001","0.7445312500000001","0.731640625","0.731640625","0.731640625","0.6416015625","0.6416015625","0.6416015625","0.7146484375","0.7146484375","0.7146484375","0.730859375","0.730859375","0.730859375","0.7134765625","0.7134765625","0.7134765625","0.8748046875000002","0.8748046875000002","0.8748046875000002","0.796875","0.796875","0.796875","0.8925781250000002","0.8925781250000002","0.8925781250000002","0.8798828125000002","0.8798828125000002","0.8798828125000002"
"34","0.6771484375000001","0.6771484375000001","0.6771484375000001","0.7660156250000001","0.7660156250000001","0.7660156250000001","0.7357421875000001","0.7357421875000001","0.7357421875000001","0.7140625","0.7140625","0.7140625","0.6521484375","0.6521484375","0.6521484375","0.7111328125","0.7111328125","0.7111328125","0.76328125","0.76328125","0.76328125","0.7185546875","0.7185546875","0.7185546875","0.8845703125000002","0.8845703125000002","0.8845703125000002","0.817578125","0.817578125","0.817578125","0.8787109375000002","0.8787109375000002","0.8787109375000002","0.8699218750000001","0.8699218750000001","0.8699218750000001"
