"Step","w1-baseline-fast - completion_len/max","w1-baseline-fast - completion_len/max__MIN","w1-baseline-fast - completion_len/max__MAX","w1-alpha64-baseline - completion_len/max","w1-alpha64-baseline - completion_len/max__MIN","w1-alpha64-baseline - completion_len/max__MAX","w1-alpha32-baseline - completion_len/max","w1-alpha32-baseline - completion_len/max__MIN","w1-alpha32-baseline - completion_len/max__MAX","w1-alpha128-baseline - completion_len/max","w1-alpha128-baseline - completion_len/max__MIN","w1-alpha128-baseline - completion_len/max__MAX","w1-alpha64-lr1e-5 - completion_len/max","w1-alpha64-lr1e-5 - completion_len/max__MIN","w1-alpha64-lr1e-5 - completion_len/max__MAX","w1-alpha64-lr3e-6 - completion_len/max","w1-alpha64-lr3e-6 - completion_len/max__MIN","w1-alpha64-lr3e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/max","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MAX","w1-alpha64-lr5e-6 - completion_len/max","w1-alpha64-lr5e-6 - completion_len/max__MIN","w1-alpha64-lr5e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MAX"
"61","512.0","512.0","512.0","437.0","437.0","437.0","507.125","507.125","507.125","423.375","423.375","423.375","116.375","116.375","116.375","263.625","263.625","263.625","310.3125","310.3125","310.3125","390.0","390.0","390.0","1766.125","1766.125","1766.125","517.5","517.5","517.5","1643.375","1643.375","1643.375","1873.75","1873.75","1873.75"
"62","512.0","512.0","512.0","512.0","512.0","512.0","462.0","462.0","462.0","431.625","431.625","431.625","114.0","114.0","114.0","257.75","257.75","257.75","254.625","254.625","254.625","329.125","329.125","329.125","1909.0","1909.0","1909.0","602.5","602.5","602.5","2038.625","2038.625","2038.625","1924.25","1924.25","1924.25"
"63","512.0","512.0","512.0","425.125","425.125","425.125","381.5","381.5","381.5","473.0","473.0","473.0","95.25","95.25","95.25","317.75","317.75","317.75","242.25","242.25","242.25","311.0","311.0","311.0","1195.0625","1195.0625","1195.0625","515.75","515.75","515.75","1553.25","1553.25","1553.25","1305.75","1305.75","1305.75"
"64","512.0","512.0","512.0","508.0","508.0","508.0","512.0","512.0","512.0","342.75","342.75","342.75","96.375","96.375","96.375","295.625","295.625","295.625","380.9375","380.9375","380.9375","385.375","385.375","385.375","2048.0","2048.0","2048.0","602.25","602.25","602.25","1830.25","1830.25","1830.25","1183.75","1183.75","1183.75"
"65","495.375","495.375","495.375","489.125","489.125","489.125","512.0","512.0","512.0","400.75","400.75","400.75","110.75","110.75","110.75","255.5","255.5","255.5","340.0","340.0","340.0","365.0","365.0","365.0","1714.125","1714.125","1714.125","581.5","581.5","581.5","1474.125","1474.125","1474.125","1291.25","1291.25","1291.25"
"66","512.0","512.0","512.0","440.125","440.125","440.125","488.5","488.5","488.5","406.0","406.0","406.0","108.125","108.125","108.125","266.625","266.625","266.625","357.8125","357.8125","357.8125","264.75","264.75","264.75","841.125","841.125","841.125","807.25","807.25","807.25","1456.75","1456.75","1456.75","1837.75","1837.75","1837.75"
"67","505.25","505.25","505.25","466.5","466.5","466.5","495.625","495.625","495.625","412.375","412.375","412.375","96.125","96.125","96.125","235.625","235.625","235.625","333.75","333.75","333.75","285.375","285.375","285.375","1372.125","1372.125","1372.125","725.75","725.75","725.75","1406.75","1406.75","1406.75","1719.75","1719.75","1719.75"
"68","512.0","512.0","512.0","395.75","395.75","395.75","395.875","395.875","395.875","406.625","406.625","406.625","97.75","97.75","97.75","235.625","235.625","235.625","246.4375","246.4375","246.4375","347.75","347.75","347.75","1512.0","1512.0","1512.0","587.75","587.75","587.75","1507.625","1507.625","1507.625","1369.25","1369.25","1369.25"
"69","474.625","474.625","474.625","503.5","503.5","503.5","466.25","466.25","466.25","347.5","347.5","347.5","107.0","107.0","107.0","242.375","242.375","242.375","253.875","253.875","253.875","363.125","363.125","363.125","1122.75","1122.75","1122.75","457.0","457.0","457.0","1575.125","1575.125","1575.125","1952.25","1952.25","1952.25"
"70","512.0","512.0","512.0","401.5","401.5","401.5","461.25","461.25","461.25","344.0","344.0","344.0","91.125","91.125","91.125","246.125","246.125","246.125","269.25","269.25","269.25","268.875","268.875","268.875","1088.625","1088.625","1088.625","497.5","497.5","497.5","2004.625","2004.625","2004.625","1186.0","1186.0","1186.0"
"71","496.75","496.75","496.75","406.75","406.75","406.75","488.5","488.5","488.5","","","","187.875","187.875","187.875","237.25","237.25","237.25","288.5","288.5","288.5","283.25","283.25","283.25","1135.125","1135.125","1135.125","390.875","390.875","390.875","1556.5","1556.5","1556.5","1723.25","1723.25","1723.25"
"72","506.0","506.0","506.0","426.25","426.25","426.25","483.0","483.0","483.0","","","","123.625","123.625","123.625","250.5","250.5","250.5","266.5","266.5","266.5","270.375","270.375","270.375","1244.375","1244.375","1244.375","611.125","611.125","611.125","1438.75","1438.75","1438.75","1743.5","1743.5","1743.5"
"73","503.75","503.75","503.75","434.625","434.625","434.625","464.625","464.625","464.625","","","","147.375","147.375","147.375","235.0","235.0","235.0","361.625","361.625","361.625","403.25","403.25","403.25","983.875","983.875","983.875","501.375","501.375","501.375","1490.5","1490.5","1490.5","1316.5","1316.5","1316.5"
"74","499.625","499.625","499.625","397.25","397.25","397.25","481.0","481.0","481.0","","","","227.75","227.75","227.75","250.375","250.375","250.375","248.5625","248.5625","248.5625","302.625","302.625","302.625","1893.875","1893.875","1893.875","571.75","571.75","571.75","2026.5","2026.5","2026.5","1464.5","1464.5","1464.5"
"75","501.75","501.75","501.75","371.0","371.0","371.0","506.375","506.375","506.375","","","","251.75","251.75","251.75","258.625","258.625","258.625","329.125","329.125","329.125","221.0","221.0","221.0","1469.5","1469.5","1469.5","658.25","658.25","658.25","1889.0","1889.0","1889.0","1794.5","1794.5","1794.5"
"76","512.0","512.0","512.0","469.5","469.5","469.5","400.625","400.625","400.625","","","","453.25","453.25","453.25","278.25","278.25","278.25","283.625","283.625","283.625","261.625","261.625","261.625","1403.0","1403.0","1403.0","469.625","469.625","469.625","2036.75","2036.75","2036.75","1103.25","1103.25","1103.25"
"77","512.0","512.0","512.0","458.5","458.5","458.5","512.0","512.0","512.0","","","","512.0","512.0","512.0","247.875","247.875","247.875","275.1875","275.1875","275.1875","339.375","339.375","339.375","1427.625","1427.625","1427.625","628.625","628.625","628.625","1810.0","1810.0","1810.0","1372.25","1372.25","1372.25"
"78","509.5","509.5","509.5","369.625","369.625","369.625","477.875","477.875","477.875","","","","512.0","512.0","512.0","274.5","274.5","274.5","416.75","416.75","416.75","271.125","271.125","271.125","1431.25","1431.25","1431.25","1000.125","1000.125","1000.125","1792.625","1792.625","1792.625","1422.25","1422.25","1422.25"
"79","512.0","512.0","512.0","382.125","382.125","382.125","435.75","435.75","435.75","","","","512.0","512.0","512.0","267.25","267.25","267.25","383.125","383.125","383.125","253.375","253.375","253.375","1015.375","1015.375","1015.375","483.125","483.125","483.125","1235.625","1235.625","1235.625","1656.0","1656.0","1656.0"
"80","512.0","512.0","512.0","413.5","413.5","413.5","484.25","484.25","484.25","","","","512.0","512.0","512.0","235.75","235.75","235.75","376.375","376.375","376.375","364.625","364.625","364.625","1226.625","1226.625","1226.625","503.75","503.75","503.75","1716.75","1716.75","1716.75","1652.75","1652.75","1652.75"
"81","512.0","512.0","512.0","447.0","447.0","447.0","425.875","425.875","425.875","","","","512.0","512.0","512.0","239.375","239.375","239.375","320.25","320.25","320.25","240.75","240.75","240.75","739.625","739.625","739.625","620.375","620.375","620.375","710.25","710.25","710.25","1064.75","1064.75","1064.75"
"82","474.375","474.375","474.375","428.125","428.125","428.125","443.0","443.0","443.0","","","","512.0","512.0","512.0","241.25","241.25","241.25","284.3125","284.3125","284.3125","247.5","247.5","247.5","907.875","907.875","907.875","550.375","550.375","550.375","1886.625","1886.625","1886.625","1202.25","1202.25","1202.25"
"84","512.0","512.0","512.0","412.375","412.375","412.375","504.75","504.75","504.75","","","","","","","245.875","245.875","245.875","382.875","382.875","382.875","262.25","262.25","262.25","1079.875","1079.875","1079.875","578.0","578.0","578.0","1857.375","1857.375","1857.375","997.75","997.75","997.75"
"85","512.0","512.0","512.0","340.0","340.0","340.0","469.375","469.375","469.375","","","","","","","253.25","253.25","253.25","256.1875","256.1875","256.1875","224.5","224.5","224.5","1408.5","1408.5","1408.5","399.625","399.625","399.625","1359.0","1359.0","1359.0","1781.0","1781.0","1781.0"
"86","512.0","512.0","512.0","453.25","453.25","453.25","423.0","423.0","423.0","","","","","","","241.625","241.625","241.625","274.0","274.0","274.0","321.5","321.5","321.5","1257.875","1257.875","1257.875","660.25","660.25","660.25","1536.75","1536.75","1536.75","1689.75","1689.75","1689.75"
"87","512.0","512.0","512.0","404.125","404.125","404.125","447.375","447.375","447.375","","","","","","","209.625","209.625","209.625","371.3125","371.3125","371.3125","306.375","306.375","306.375","1241.375","1241.375","1241.375","827.375","827.375","827.375","1416.375","1416.375","1416.375","1266.0","1266.0","1266.0"
"88","507.5","507.5","507.5","381.0","381.0","381.0","508.375","508.375","508.375","","","","","","","280.0","280.0","280.0","352.3125","352.3125","352.3125","293.75","293.75","293.75","837.375","837.375","837.375","507.25","507.25","507.25","1682.25","1682.25","1682.25","956.0","956.0","956.0"
"89","512.0","512.0","512.0","391.25","391.25","391.25","476.375","476.375","476.375","","","","","","","244.25","244.25","244.25","240.5625","240.5625","240.5625","243.375","243.375","243.375","1088.875","1088.875","1088.875","543.625","543.625","543.625","1593.25","1593.25","1593.25","1520.5","1520.5","1520.5"
"90","512.0","512.0","512.0","425.375","425.375","425.375","512.0","512.0","512.0","","","","","","","222.5","222.5","222.5","294.3125","294.3125","294.3125","250.625","250.625","250.625","1596.625","1596.625","1596.625","386.875","386.875","386.875","1209.25","1209.25","1209.25","1825.0","1825.0","1825.0"
"91","512.0","512.0","512.0","420.25","420.25","420.25","496.375","496.375","496.375","","","","","","","274.25","274.25","274.25","239.25","239.25","239.25","225.625","225.625","225.625","803.0","803.0","803.0","724.625","724.625","724.625","1603.75","1603.75","1603.75","1774.5","1774.5","1774.5"
"92","512.0","512.0","512.0","355.5","355.5","355.5","479.875","479.875","479.875","","","","","","","206.625","206.625","206.625","329.8125","329.8125","329.8125","229.5","229.5","229.5","1022.375","1022.375","1022.375","1024.0","1024.0","1024.0","1467.875","1467.875","1467.875","1230.5","1230.5","1230.5"
"93","492.125","492.125","492.125","303.75","303.75","303.75","440.75","440.75","440.75","","","","","","","224.5","224.5","224.5","292.4375","292.4375","292.4375","268.875","268.875","268.875","1138.125","1138.125","1138.125","875.5","875.5","875.5","1462.0","1462.0","1462.0","1193.0","1193.0","1193.0"
"94","465.25","465.25","465.25","428.25","428.25","428.25","491.625","491.625","491.625","","","","","","","198.375","198.375","198.375","342.0625","342.0625","342.0625","267.125","267.125","267.125","1061.75","1061.75","1061.75","602.625","602.625","602.625","2046.625","2046.625","2046.625","1101.75","1101.75","1101.75"
"95","511.75","511.75","511.75","482.375","482.375","482.375","480.5","480.5","480.5","","","","","","","205.25","205.25","205.25","257.3125","257.3125","257.3125","249.375","249.375","249.375","1026.75","1026.75","1026.75","844.875","844.875","844.875","1530.375","1530.375","1530.375","1273.5","1273.5","1273.5"
"96","485.75","485.75","485.75","354.0","354.0","354.0","473.25","473.25","473.25","","","","","","","201.625","201.625","201.625","351.5625","351.5625","351.5625","250.5","250.5","250.5","1016.375","1016.375","1016.375","1010.875","1010.875","1010.875","1205.5","1205.5","1205.5","1507.25","1507.25","1507.25"
"97","512.0","512.0","512.0","396.0","396.0","396.0","443.5","443.5","443.5","","","","","","","247.875","247.875","247.875","301.6875","301.6875","301.6875","266.125","266.125","266.125","1014.75","1014.75","1014.75","430.5","430.5","430.5","1432.625","1432.625","1432.625","1188.25","1188.25","1188.25"
"98","512.0","512.0","512.0","377.25","377.25","377.25","407.375","407.375","407.375","","","","","","","284.25","284.25","284.25","279.125","279.125","279.125","251.125","251.125","251.125","898.625","898.625","898.625","587.875","587.875","587.875","1639.125","1639.125","1639.125","1547.25","1547.25","1547.25"
"99","502.25","502.25","502.25","414.625","414.625","414.625","495.125","495.125","495.125","","","","","","","226.625","226.625","226.625","274.8125","274.8125","274.8125","394.25","394.25","394.25","808.75","808.75","808.75","464.125","464.125","464.125","2048.0","2048.0","2048.0","2007.5","2007.5","2007.5"
"100","512.0","512.0","512.0","388.5","388.5","388.5","470.5","470.5","470.5","","","","","","","243.375","243.375","243.375","256.5625","256.5625","256.5625","279.0","279.0","279.0","1292.625","1292.625","1292.625","687.0","687.0","687.0","1243.0","1243.0","1243.0","1403.0","1403.0","1403.0"
