"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"62","377.875","377.875","377.875","228.125","228.125","228.125","283.0","283.0","283.0","223.5","223.5","223.5","49.0","49.0","49.0","170.5","170.5","170.5","213.5","213.5","213.5","165.375","165.375","165.375","483.625","483.625","483.625","238.25","238.25","238.25","450.625","450.625","450.625","353.5","353.5","353.5"
"63","343.5","343.5","343.5","201.625","201.625","201.625","248.625","248.625","248.625","215.75","215.75","215.75","49.25","49.25","49.25","182.875","182.875","182.875","184.4375","184.4375","184.4375","156.75","156.75","156.75","412.5","412.5","412.5","247.375","247.375","247.375","491.375","491.375","491.375","364.0","364.0","364.0"
"64","356.25","356.25","356.25","250.625","250.625","250.625","236.375","236.375","236.375","201.625","201.625","201.625","56.25","56.25","56.25","187.375","187.375","187.375","211.25","211.25","211.25","159.5","159.5","159.5","445.375","445.375","445.375","251.625","251.625","251.625","478.0","478.0","478.0","327.25","327.25","327.25"
"65","378.0","378.0","378.0","243.0","243.0","243.0","252.625","252.625","252.625","200.875","200.875","200.875","46.375","46.375","46.375","166.0","166.0","166.0","222.6875","222.6875","222.6875","161.625","161.625","161.625","457.625","457.625","457.625","239.25","239.25","239.25","614.375","614.375","614.375","339.75","339.75","339.75"
"66","365.5","365.5","365.5","240.0","240.0","240.0","244.5","244.5","244.5","220.75","220.75","220.75","57.625","57.625","57.625","173.875","173.875","173.875","240.75","240.75","240.75","143.125","143.125","143.125","469.625","469.625","469.625","236.75","236.75","236.75","603.0","603.0","603.0","384.5","384.5","384.5"
"67","288.0","288.0","288.0","245.5","245.5","245.5","259.5","259.5","259.5","196.5","196.5","196.5","54.0","54.0","54.0","164.625","164.625","164.625","227.3125","227.3125","227.3125","142.125","142.125","142.125","374.125","374.125","374.125","241.625","241.625","241.625","469.5","469.5","469.5","355.25","355.25","355.25"
"68","317.625","317.625","317.625","237.375","237.375","237.375","275.25","275.25","275.25","221.0","221.0","221.0","51.25","51.25","51.25","162.625","162.625","162.625","211.875","211.875","211.875","120.0","120.0","120.0","457.125","457.125","457.125","243.375","243.375","243.375","445.75","445.75","445.75","315.25","315.25","315.25"
"69","319.125","319.125","319.125","226.0","226.0","226.0","287.5","287.5","287.5","218.75","218.75","218.75","51.375","51.375","51.375","158.0","158.0","158.0","213.375","213.375","213.375","166.25","166.25","166.25","421.0","421.0","421.0","247.0","247.0","247.0","469.125","469.125","469.125","360.75","360.75","360.75"
"70","336.0","336.0","336.0","231.0","231.0","231.0","231.75","231.75","231.75","231.25","231.25","231.25","47.875","47.875","47.875","158.0","158.0","158.0","228.5625","228.5625","228.5625","106.125","106.125","106.125","410.25","410.25","410.25","260.625","260.625","260.625","591.125","591.125","591.125","314.5","314.5","314.5"
"71","341.125","341.125","341.125","241.5","241.5","241.5","215.0","215.0","215.0","","","","51.25","51.25","51.25","161.375","161.375","161.375","201.125","201.125","201.125","142.5","142.5","142.5","403.875","403.875","403.875","242.0","242.0","242.0","442.625","442.625","442.625","341.75","341.75","341.75"
"72","285.375","285.375","285.375","219.875","219.875","219.875","278.75","278.75","278.75","","","","54.5","54.5","54.5","160.625","160.625","160.625","199.125","199.125","199.125","127.625","127.625","127.625","371.25","371.25","371.25","256.875","256.875","256.875","516.5","516.5","516.5","261.25","261.25","261.25"
"73","346.875","346.875","346.875","214.875","214.875","214.875","295.875","295.875","295.875","","","","71.125","71.125","71.125","155.375","155.375","155.375","222.25","222.25","222.25","164.125","164.125","164.125","403.125","403.125","403.125","230.0","230.0","230.0","566.5","566.5","566.5","385.5","385.5","385.5"
"74","315.0","315.0","315.0","239.25","239.25","239.25","295.125","295.125","295.125","","","","64.125","64.125","64.125","149.875","149.875","149.875","206.1875","206.1875","206.1875","144.125","144.125","144.125","427.875","427.875","427.875","238.125","238.125","238.125","393.75","393.75","393.75","368.75","368.75","368.75"
"75","294.75","294.75","294.75","225.125","225.125","225.125","272.75","272.75","272.75","","","","100.875","100.875","100.875","149.75","149.75","149.75","201.5625","201.5625","201.5625","159.25","159.25","159.25","414.5","414.5","414.5","261.625","261.625","261.625","513.875","513.875","513.875","340.25","340.25","340.25"
"76","300.75","300.75","300.75","210.625","210.625","210.625","247.875","247.875","247.875","","","","121.75","121.75","121.75","159.75","159.75","159.75","230.3125","230.3125","230.3125","181.375","181.375","181.375","451.5","451.5","451.5","243.75","243.75","243.75","463.625","463.625","463.625","368.5","368.5","368.5"
"77","326.25","326.25","326.25","212.75","212.75","212.75","264.375","264.375","264.375","","","","512.0","512.0","512.0","162.375","162.375","162.375","213.9375","213.9375","213.9375","138.125","138.125","138.125","450.0","450.0","450.0","236.875","236.875","236.875","482.5","482.5","482.5","381.25","381.25","381.25"
"78","324.5","324.5","324.5","234.75","234.75","234.75","280.625","280.625","280.625","","","","512.0","512.0","512.0","159.125","159.125","159.125","241.6875","241.6875","241.6875","138.125","138.125","138.125","415.875","415.875","415.875","224.125","224.125","224.125","473.875","473.875","473.875","319.25","319.25","319.25"
"79","317.75","317.75","317.75","217.5","217.5","217.5","263.75","263.75","263.75","","","","512.0","512.0","512.0","158.625","158.625","158.625","242.375","242.375","242.375","173.0","173.0","173.0","427.625","427.625","427.625","243.375","243.375","243.375","501.75","501.75","501.75","400.0","400.0","400.0"
"80","326.25","326.25","326.25","211.625","211.625","211.625","266.375","266.375","266.375","","","","512.0","512.0","512.0","157.25","157.25","157.25","215.0","215.0","215.0","155.875","155.875","155.875","397.25","397.25","397.25","222.125","222.125","222.125","367.625","367.625","367.625","340.25","340.25","340.25"
"81","356.625","356.625","356.625","220.375","220.375","220.375","262.25","262.25","262.25","","","","512.0","512.0","512.0","156.75","156.75","156.75","225.125","225.125","225.125","152.875","152.875","152.875","495.75","495.75","495.75","235.625","235.625","235.625","506.125","506.125","506.125","364.75","364.75","364.75"
"82","304.375","304.375","304.375","229.875","229.875","229.875","262.125","262.125","262.125","","","","512.0","512.0","512.0","153.75","153.75","153.75","212.0","212.0","212.0","132.75","132.75","132.75","381.5","381.5","381.5","224.875","224.875","224.875","456.375","456.375","456.375","378.75","378.75","378.75"
"84","339.75","339.75","339.75","212.375","212.375","212.375","247.875","247.875","247.875","","","","","","","174.0","174.0","174.0","290.4375","290.4375","290.4375","166.125","166.125","166.125","376.375","376.375","376.375","240.375","240.375","240.375","531.75","531.75","531.75","365.5","365.5","365.5"
"85","326.375","326.375","326.375","220.5","220.5","220.5","254.75","254.75","254.75","","","","","","","135.25","135.25","135.25","200.5","200.5","200.5","155.125","155.125","155.125","426.75","426.75","426.75","237.875","237.875","237.875","484.875","484.875","484.875","360.5","360.5","360.5"
"86","358.5","358.5","358.5","210.75","210.75","210.75","233.0","233.0","233.0","","","","","","","158.875","158.875","158.875","179.3125","179.3125","179.3125","123.75","123.75","123.75","480.375","480.375","480.375","234.875","234.875","234.875","446.0","446.0","446.0","341.25","341.25","341.25"
"87","301.75","301.75","301.75","217.125","217.125","217.125","228.875","228.875","228.875","","","","","","","146.0","146.0","146.0","218.25","218.25","218.25","121.875","121.875","121.875","350.125","350.125","350.125","265.375","265.375","265.375","472.125","472.125","472.125","400.75","400.75","400.75"
"88","275.875","275.875","275.875","239.0","239.0","239.0","265.5","265.5","265.5","","","","","","","156.125","156.125","156.125","196.625","196.625","196.625","150.375","150.375","150.375","440.25","440.25","440.25","220.25","220.25","220.25","458.75","458.75","458.75","379.0","379.0","379.0"
"89","342.75","342.75","342.75","224.125","224.125","224.125","262.75","262.75","262.75","","","","","","","140.375","140.375","140.375","208.1875","208.1875","208.1875","153.5","153.5","153.5","445.875","445.875","445.875","237.125","237.125","237.125","480.25","480.25","480.25","398.0","398.0","398.0"
"90","358.5","358.5","358.5","189.125","189.125","189.125","257.5","257.5","257.5","","","","","","","152.875","152.875","152.875","187.4375","187.4375","187.4375","133.0","133.0","133.0","428.0","428.0","428.0","252.25","252.25","252.25","464.75","464.75","464.75","370.0","370.0","370.0"
"91","337.875","337.875","337.875","207.875","207.875","207.875","272.25","272.25","272.25","","","","","","","141.25","141.25","141.25","194.1875","194.1875","194.1875","169.25","169.25","169.25","380.5","380.5","380.5","229.25","229.25","229.25","323.25","323.25","323.25","437.0","437.0","437.0"
"92","305.5","305.5","305.5","215.5","215.5","215.5","225.625","225.625","225.625","","","","","","","139.625","139.625","139.625","222.1875","222.1875","222.1875","157.875","157.875","157.875","380.875","380.875","380.875","234.375","234.375","234.375","446.75","446.75","446.75","448.5","448.5","448.5"
"93","344.75","344.75","344.75","223.0","223.0","223.0","256.125","256.125","256.125","","","","","","","164.375","164.375","164.375","201.5625","201.5625","201.5625","124.625","124.625","124.625","438.125","438.125","438.125","256.25","256.25","256.25","422.0","422.0","422.0","355.0","355.0","355.0"
"94","302.625","302.625","302.625","211.25","211.25","211.25","266.0","266.0","266.0","","","","","","","141.25","141.25","141.25","231.25","231.25","231.25","160.375","160.375","160.375","349.5","349.5","349.5","243.375","243.375","243.375","342.5","342.5","342.5","424.0","424.0","424.0"
"95","294.25","294.25","294.25","210.875","210.875","210.875","256.375","256.375","256.375","","","","","","","138.75","138.75","138.75","205.8125","205.8125","205.8125","155.875","155.875","155.875","413.25","413.25","413.25","271.875","271.875","271.875","371.875","371.875","371.875","335.5","335.5","335.5"
"96","301.75","301.75","301.75","233.75","233.75","233.75","256.0","256.0","256.0","","","","","","","141.75","141.75","141.75","213.25","213.25","213.25","146.5","146.5","146.5","394.5","394.5","394.5","229.875","229.875","229.875","401.75","401.75","401.75","417.75","417.75","417.75"
"97","313.625","313.625","313.625","225.875","225.875","225.875","272.5","272.5","272.5","","","","","","","144.5","144.5","144.5","222.3125","222.3125","222.3125","173.625","173.625","173.625","339.875","339.875","339.875","253.0","253.0","253.0","362.75","362.75","362.75","378.25","378.25","378.25"
"98","324.875","324.875","324.875","210.125","210.125","210.125","267.125","267.125","267.125","","","","","","","145.125","145.125","145.125","201.6875","201.6875","201.6875","167.5","167.5","167.5","370.125","370.125","370.125","216.875","216.875","216.875","333.25","333.25","333.25","383.5","383.5","383.5"
"99","287.875","287.875","287.875","205.25","205.25","205.25","227.875","227.875","227.875","","","","","","","131.625","131.625","131.625","214.0","214.0","214.0","181.75","181.75","181.75","351.75","351.75","351.75","246.875","246.875","246.875","390.875","390.875","390.875","414.25","414.25","414.25"
"100","350.25","350.25","350.25","227.125","227.125","227.125","237.125","237.125","237.125","","","","","","","132.625","132.625","132.625","193.9375","193.9375","193.9375","187.75","187.75","187.75","419.875","419.875","419.875","245.875","245.875","245.875","375.75","375.75","375.75","407.0","407.0","407.0"
