"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"15","415.125","415.125","415.125","384.5","384.5","384.5","389.375","389.375","389.375","303.375","303.375","303.375","187.5","187.5","187.5","276.375","276.375","276.375","382.75","382.75","382.75","235.0","235.0","235.0","535.5","535.5","535.5","296.625","296.625","296.625","538.125","538.125","538.125","368.25","368.25","368.25"
"16","444.875","444.875","444.875","331.625","331.625","331.625","345.625","345.625","345.625","278.25","278.25","278.25","172.625","172.625","172.625","264.5","264.5","264.5","281.25","281.25","281.25","251.0","251.0","251.0","430.25","430.25","430.25","304.875","304.875","304.875","575.375","575.375","575.375","358.25","358.25","358.25"
"17","377.875","377.875","377.875","377.625","377.625","377.625","354.625","354.625","354.625","260.5","260.5","260.5","183.0","183.0","183.0","247.625","247.625","247.625","281.1875","281.1875","281.1875","242.0","242.0","242.0","489.75","489.75","489.75","283.75","283.75","283.75","516.375","516.375","516.375","373.75","373.75","373.75"
"18","388.0","388.0","388.0","320.875","320.875","320.875","342.375","342.375","342.375","252.25","252.25","252.25","190.25","190.25","190.25","215.125","215.125","215.125","269.875","269.875","269.875","237.875","237.875","237.875","510.0","510.0","510.0","338.875","338.875","338.875","577.625","577.625","577.625","548.25","548.25","548.25"
"19","393.5","393.5","393.5","353.0","353.0","353.0","311.125","311.125","311.125","278.25","278.25","278.25","167.0","167.0","167.0","229.625","229.625","229.625","237.875","237.875","237.875","231.5","231.5","231.5","478.875","478.875","478.875","255.5","255.5","255.5","439.75","439.75","439.75","330.75","330.75","330.75"
"20","411.5","411.5","411.5","274.875","274.875","274.875","326.625","326.625","326.625","263.0","263.0","263.0","160.375","160.375","160.375","234.875","234.875","234.875","247.3125","247.3125","247.3125","241.25","241.25","241.25","447.875","447.875","447.875","306.5","306.5","306.5","578.875","578.875","578.875","392.75","392.75","392.75"
"21","396.125","396.125","396.125","277.0","277.0","277.0","356.125","356.125","356.125","262.625","262.625","262.625","134.625","134.625","134.625","215.25","215.25","215.25","276.5","276.5","276.5","208.375","208.375","208.375","470.5","470.5","470.5","278.625","278.625","278.625","541.625","541.625","541.625","529.0","529.0","529.0"
"22","416.0","416.0","416.0","301.75","301.75","301.75","377.125","377.125","377.125","245.625","245.625","245.625","161.875","161.875","161.875","226.875","226.875","226.875","280.125","280.125","280.125","220.625","220.625","220.625","405.75","405.75","405.75","276.5","276.5","276.5","479.5","479.5","479.5","479.75","479.75","479.75"
"23","396.625","396.625","396.625","271.5","271.5","271.5","283.25","283.25","283.25","267.75","267.75","267.75","145.5","145.5","145.5","199.125","199.125","199.125","312.625","312.625","312.625","241.0","241.0","241.0","585.75","585.75","585.75","280.75","280.75","280.75","564.375","564.375","564.375","512.75","512.75","512.75"
"24","411.375","411.375","411.375","265.0","265.0","265.0","355.125","355.125","355.125","256.25","256.25","256.25","144.5","144.5","144.5","218.75","218.75","218.75","274.1875","274.1875","274.1875","211.75","211.75","211.75","470.875","470.875","470.875","268.125","268.125","268.125","533.875","533.875","533.875","463.25","463.25","463.25"
